Anz Daten: 10000; Mittelpunkt:         0.00;   162501.39;   161104.82;

        Abst;       BrSec;       LaSec;
   228767.39;       41.64;       41.63;
   228767.40;       40.10;       43.17;
   228767.40;       24.14;       59.27;
   228767.41;       42.63;       40.61;
   228767.44;       24.29;       59.07;
   228767.44;       24.79;       58.56;
   228767.45;       32.01;       51.26;
   228767.46;       50.21;       32.89;
   228767.47;       36.40;       46.81;
   228767.48;       26.32;       56.96;
   228767.48;       45.36;       37.75;
   228767.50;       34.40;       48.79;
   228767.50;       43.45;       39.65;
   228767.51;       25.90;       57.35;
   228767.51;       23.41;       59.85;
   228767.53;       46.73;       36.31;
   228767.54;       41.27;       41.80;
   228767.54;       41.15;       41.92;
   228767.57;       49.28;       33.67;
   228767.62;       23.36;       59.75;
   228767.63;       44.10;       38.82;
   228767.63;       30.25;       52.79;
   228767.63;       34.71;       48.28;
   228767.64;       38.67;       44.28;
   228767.64;       32.83;       50.17;
   228767.64;       31.95;       51.05;
   228767.65;       27.04;       56.00;
   228767.65;       40.52;       42.39;
   228767.66;       59.53;       23.21;
   228767.66;       51.05;       31.76;
   228767.66;       55.51;       27.26;
   228767.68;       41.79;       41.07;
   228767.69;       45.43;       37.39;
   228767.70;       50.67;       32.09;
   228767.70;       45.37;       37.43;
   228767.71;       56.31;       26.39;
   228767.73;       36.42;       46.42;
   228767.75;       30.40;       52.47;
   228767.76;       39.04;       43.74;
   228767.76;       26.93;       55.95;
   228767.77;       59.67;       22.91;
   228767.78;       46.79;       35.89;
   228767.80;       41.84;       40.85;
   228767.80;       26.51;       56.31;
   228767.81;       33.31;       49.44;
   228767.83;       30.05;       52.71;
   228767.83;       57.68;       24.83;
   228767.84;       49.03;       33.55;
   228767.84;       55.10;       27.42;
   228767.86;       24.20;       58.56;
   228767.86;       24.78;       57.97;
   228767.87;       57.79;       24.66;
   228767.88;       40.33;       42.26;
   228767.89;       53.96;       28.50;
   228767.90;       37.02;       45.57;
   228767.90;       53.01;       29.44;
   228767.91;       57.16;       25.24;
   228767.92;       35.32;       47.26;
   228767.93;       39.47;       43.06;
   228767.94;       23.57;       59.09;
   228767.94;       22.94;       59.72;
   228767.94;       58.58;       23.77;
   228767.96;       45.83;       36.60;
   228767.98;       29.42;       53.13;
   228767.98;       57.50;       24.80;
   228768.01;       31.43;       51.05;
   228768.02;       43.75;       38.62;
   228768.02;       40.54;       41.85;
   228768.02;       56.65;       25.60;
   228768.03;       26.09;       56.42;
   228768.03;       24.96;       57.56;
   228768.03;       51.13;       31.15;
   228768.05;       52.52;       29.73;
   228768.05;       32.71;       49.71;
   228768.05;       24.27;       58.22;
   228768.05;       59.77;       22.41;
   228768.07;       49.43;       32.82;
   228768.08;       56.96;       25.20;
   228768.09;       40.61;       41.68;
   228768.11;       31.07;       51.27;
   228768.13;       26.94;       55.42;
   228768.13;       52.15;       29.99;
   228768.13;       25.91;       56.45;
   228768.14;       50.28;       31.86;
   228768.15;       41.12;       41.08;
   228768.15;       54.56;       27.52;
   228768.16;       31.74;       50.53;
   228768.16;       25.69;       56.63;
   228768.16;       46.22;       35.92;
   228768.17;       40.98;       41.19;
   228768.17;       54.88;       27.17;
   228768.18;       44.03;       38.11;
   228768.18;       47.19;       34.92;
   228768.18;       23.68;       58.63;
   228768.19;       32.08;       50.15;
   228768.19;       33.09;       49.13;
   228768.19;       34.15;       48.06;
   228768.19;       42.74;       39.39;
   228768.20;       44.17;       37.94;
   228768.20;       50.84;       31.21;
   228768.20;       59.83;       22.14;
   228768.20;       45.19;       36.90;
   228768.21;       37.89;       44.26;
   228768.21;       54.22;       27.78;
   228768.22;       28.44;       53.78;
   228768.22;       26.48;       55.75;
   228768.22;       23.01;       59.25;
   228768.22;       42.37;       39.72;
   228768.22;       58.70;       23.25;
   228768.23;       27.16;       55.05;
   228768.24;       34.16;       47.97;
   228768.24;       25.00;       57.21;
   228768.25;       31.47;       50.68;
   228768.25;       40.13;       41.94;
   228768.25;       44.50;       37.53;
   228768.25;       43.17;       38.87;
   228768.25;       24.40;       57.80;
   228768.26;       29.37;       52.78;
   228768.26;       46.47;       35.53;
   228768.26;       47.53;       34.46;
   228768.26;       40.30;       41.75;
   228768.27;       23.24;       58.95;
   228768.27;       46.94;       35.04;
   228768.28;       33.13;       48.96;
   228768.29;       26.77;       55.36;
   228768.30;       53.16;       28.72;
   228768.34;       47.59;       34.29;
   228768.34;       53.22;       28.61;
   228768.34;       41.06;       40.87;
   228768.35;       54.25;       27.56;
   228768.38;       30.80;       51.17;
   228768.38;       59.63;       22.09;
   228768.38;       25.77;       56.24;
   228768.39;       36.95;       44.94;
   228768.40;       34.94;       46.96;
   228768.40;       35.59;       46.30;
   228768.41;       36.35;       45.52;
   228768.43;       56.28;       25.40;
   228768.44;       29.28;       52.62;
   228768.44;       29.99;       51.89;
   228768.46;       58.85;       22.76;
   228768.47;       56.47;       25.15;
   228768.49;       52.46;       29.16;
   228768.49;       47.58;       34.08;
   228768.50;       41.29;       40.42;
   228768.50;       56.34;       25.23;
   228768.51;       24.76;       57.08;
   228768.51;       57.76;       23.79;
   228768.51;       56.75;       24.80;
   228768.51;       57.88;       23.66;
   228768.52;       53.09;       28.48;
   228768.52;       26.56;       55.24;
   228768.53;       31.82;       49.93;
   228768.55;       45.72;       35.88;
   228768.55;       46.83;       34.76;
   228768.57;       39.58;       42.04;
   228768.57;       53.51;       27.99;
   228768.57;       41.76;       39.84;
   228768.57;       37.73;       43.90;
   228768.59;       49.08;       32.43;
   228768.59;       55.90;       25.55;
   228768.59;       53.98;       27.48;
   228768.60;       28.40;       53.27;
   228768.60;       29.34;       52.32;
   228768.63;       59.28;       22.09;
   228768.63;       30.02;       51.60;
   228768.64;       56.40;       24.98;
   228768.64;       34.26;       47.31;
   228768.67;       51.36;       30.02;
   228768.67;       45.47;       35.96;
   228768.67;       52.46;       28.90;
   228768.68;       44.99;       36.43;
   228768.70;       49.74;       31.61;
   228768.75;       45.70;       35.61;
   228768.76;       27.42;       54.04;
   228768.76;       49.11;       32.15;
   228768.77;       31.27;       50.14;
   228768.78;       42.36;       38.94;
   228768.78;       59.88;       21.26;
   228768.79;       30.74;       50.65;
   228768.79;       46.45;       34.80;
   228768.80;       23.22;       58.21;
   228768.81;       42.18;       39.08;
   228768.81;       27.14;       54.25;
   228768.81;       59.80;       21.30;
   228768.83;       28.39;       52.96;
   228768.83;       32.81;       48.50;
   228768.84;       46.50;       34.67;
   228768.85;       31.11;       50.19;
   228768.85;       42.97;       38.22;
   228768.87;       55.83;       25.23;
   228768.89;       38.52;       42.66;
   228768.89;       36.99;       44.20;
   228768.90;       44.81;       36.30;
   228768.91;       48.53;       32.53;
   228768.92;       26.84;       54.40;
   228768.92;       38.63;       42.50;
   228768.93;       56.45;       24.51;
   228768.94;       37.97;       43.13;
   228768.96;       54.81;       26.12;
   228768.96;       26.91;       54.26;
   228768.96;       40.51;       40.54;
   228768.97;       32.26;       48.86;
   228768.97;       47.44;       33.54;
   228768.98;       38.76;       42.29;
   228768.98;       38.68;       42.36;
   228769.00;       41.96;       39.03;
   228769.00;       37.68;       43.34;
   228769.00;       27.16;       53.95;
   228769.01;       48.86;       32.06;
   228769.01;       26.22;       54.89;
   228769.01;       23.78;       57.35;
   228769.01;       55.50;       25.35;
   228769.05;       36.94;       44.02;
   228769.06;       35.16;       45.80;
   228769.07;       45.67;       35.19;
   228769.07;       27.30;       53.71;
   228769.08;       32.50;       48.46;
   228769.08;       23.92;       57.11;
   228769.09;       50.42;       30.37;
   228769.09;       55.73;       25.01;
   228769.09;       36.53;       44.37;
   228769.09;       37.63;       43.26;
   228769.11;       32.98;       47.93;
   228769.11;       22.77;       58.23;
   228769.11;       43.59;       37.22;
   228769.13;       25.43;       55.52;
   228769.13;       56.54;       24.14;
   228769.13;       25.35;       55.60;
   228769.13;       26.84;       54.09;
   228769.15;       33.81;       47.03;
   228769.16;       55.47;       25.17;
   228769.16;       54.17;       26.48;
   228769.17;       25.96;       54.93;
   228769.17;       47.54;       33.16;
   228769.17;       30.08;       50.77;
   228769.17;       57.68;       22.93;
   228769.18;       25.54;       55.33;
   228769.19;       58.74;       21.83;
   228769.20;       59.24;       21.32;
   228769.20;       44.81;       35.87;
   228769.22;       53.62;       26.96;
   228769.22;       53.82;       26.75;
   228769.23;       41.52;       39.14;
   228769.24;       57.95;       22.56;
   228769.24;       38.84;       41.83;
   228769.25;       41.65;       38.98;
   228769.26;       50.40;       30.15;
   228769.27;       31.73;       48.96;
   228769.27;       40.66;       39.95;
   228769.28;       21.50;       59.27;
   228769.29;       44.04;       36.52;
   228769.30;       40.77;       39.80;
   228769.30;       28.98;       51.69;
   228769.31;       27.64;       53.03;
   228769.31;       43.34;       37.19;
   228769.32;       32.31;       48.31;
   228769.32;       52.91;       27.53;
   228769.32;       27.37;       53.29;
   228769.33;       39.69;       40.85;
   228769.34;       54.78;       25.61;
   228769.35;       25.49;       55.15;
   228769.35;       52.54;       27.86;
   228769.35;       49.55;       30.87;
   228769.36;       37.36;       43.16;
   228769.36;       27.55;       53.05;
   228769.36;       46.53;       33.90;
   228769.37;       54.24;       26.12;
   228769.37;       57.38;       22.95;
   228769.40;       48.48;       31.88;
   228769.41;       52.74;       27.57;
   228769.42;       23.40;       57.16;
   228769.42;       51.47;       28.84;
   228769.43;       50.90;       29.40;
   228769.44;       48.32;       31.99;
   228769.44;       32.05;       48.40;
   228769.44;       53.86;       26.40;
   228769.44;       22.10;       58.43;
   228769.44;       27.67;       52.81;
   228769.46;       51.78;       28.47;
   228769.46;       42.11;       38.22;
   228769.47;       38.18;       42.17;
   228769.48;       58.06;       22.11;
   228769.48;       24.21;       56.25;
   228769.50;       55.69;       24.47;
   228769.51;       21.39;       59.06;
   228769.52;       49.53;       30.65;
   228769.56;       30.69;       49.60;
   228769.56;       22.72;       57.64;
   228769.56;       55.72;       24.35;
   228769.57;       47.18;       32.95;
   228769.58;       22.42;       57.92;
   228769.58;       24.52;       55.80;
   228769.58;       22.19;       58.15;
   228769.61;       42.38;       37.74;
   228769.61;       22.07;       58.22;
   228769.61;       26.54;       53.71;
   228769.62;       47.22;       32.84;
   228769.63;       31.16;       49.03;
   228769.63;       45.79;       34.27;
   228769.63;       58.56;       21.39;
   228769.63;       31.11;       49.07;
   228769.65;       31.62;       48.54;
   228769.66;       35.68;       44.43;
   228769.66;       52.81;       27.15;
   228769.66;       24.80;       55.40;
   228769.67;       38.78;       41.29;
   228769.67;       31.43;       48.70;
   228769.67;       51.93;       28.02;
   228769.68;       57.61;       22.28;
   228769.71;       20.82;       59.35;
   228769.71;       58.75;       21.09;
   228769.71;       31.48;       48.59;
   228769.71;       23.45;       56.69;
   228769.73;       37.83;       42.15;
   228769.74;       59.66;       20.13;
   228769.77;       49.99;       29.84;
   228769.78;       34.56;       45.39;
   228769.79;       52.95;       26.82;
   228769.80;       26.25;       53.74;
   228769.80;       37.85;       42.03;
   228769.81;       48.44;       31.34;
   228769.82;       55.71;       24.00;
   228769.82;       36.42;       43.45;
   228769.83;       43.68;       36.12;
   228769.83;       29.23;       50.69;
   228769.83;       44.96;       34.82;
   228769.83;       43.60;       36.19;
   228769.85;       28.54;       51.36;
   228769.86;       25.13;       54.78;
   228769.86;       26.19;       53.71;
   228769.87;       31.32;       48.53;
   228769.87;       57.64;       21.98;
   228769.87;       28.26;       51.61;
   228769.87;       54.32;       25.32;
   228769.87;       25.43;       54.46;
   228769.89;       39.32;       40.42;
   228769.90;       35.29;       44.48;
   228769.90;       27.61;       52.22;
   228769.90;       20.80;       59.09;
   228769.91;       22.34;       57.53;
   228769.91;       56.89;       22.68;
   228769.91;       38.12;       41.61;
   228769.92;       54.99;       24.58;
   228769.92;       30.03;       49.75;
   228769.92;       57.60;       21.94;
   228769.93;       48.71;       30.90;
   228769.95;       23.86;       55.94;
   228769.96;       29.57;       50.16;
   228769.97;       34.61;       45.07;
   228769.97;       23.87;       55.90;
   228769.98;       59.72;       19.72;
   228769.99;       26.84;       52.88;
   228770.00;       36.21;       43.41;
   228770.00;       55.77;       23.68;
   228770.00;       55.43;       24.02;
   228770.00;       35.19;       44.43;
   228770.02;       53.09;       26.36;
   228770.02;       49.47;       30.00;
   228770.03;       55.97;       23.44;
   228770.03;       40.63;       38.90;
   228770.04;       56.56;       22.83;
   228770.04;       42.96;       36.54;
   228770.04;       48.20;       31.25;
   228770.05;       58.45;       20.91;
   228770.06;       27.75;       51.86;
   228770.07;       26.48;       53.12;
   228770.07;       25.34;       54.27;
   228770.08;       43.92;       35.52;
   228770.09;       55.22;       24.11;
   228770.09;       51.68;       27.68;
   228770.11;       42.81;       36.60;
   228770.11;       26.54;       53.01;
   228770.11;       47.28;       32.08;
   228770.12;       35.66;       43.79;
   228770.12;       25.88;       53.65;
   228770.13;       41.41;       37.97;
   228770.14;       35.56;       43.87;
   228770.15;       36.68;       42.72;
   228770.16;       50.70;       28.57;
   228770.16;       19.55;       59.99;
   228770.16;       50.48;       28.79;
   228770.16;       29.27;       50.18;
   228770.16;       36.53;       42.85;
   228770.16;       22.84;       56.66;
   228770.17;       35.29;       44.10;
   228770.17;       32.51;       46.90;
   228770.17;       57.55;       21.64;
   228770.18;       23.28;       56.20;
   228770.18;       43.57;       35.73;
   228770.18;       22.47;       57.01;
   228770.18;       40.60;       38.72;
   228770.19;       36.32;       43.03;
   228770.20;       45.08;       34.17;
   228770.21;       57.77;       21.37;
   228770.21;       21.71;       57.74;
   228770.21;       59.59;       19.53;
   228770.21;       25.98;       53.43;
   228770.21;       44.07;       35.18;
   228770.22;       54.89;       24.26;
   228770.22;       55.87;       23.27;
   228770.22;       25.09;       54.31;
   228770.23;       56.79;       22.32;
   228770.24;       33.05;       46.26;
   228770.24;       55.61;       23.50;
   228770.25;       56.30;       22.79;
   228770.26;       27.52;       51.81;
   228770.26;       35.30;       43.96;
   228770.26;       31.52;       47.77;
   228770.26;       28.83;       50.48;
   228770.26;       33.36;       45.91;
   228770.28;       26.77;       52.53;
   228770.28;       59.94;       19.07;
   228770.29;       42.56;       36.59;
   228770.29;       45.20;       33.92;
   228770.30;       47.39;       31.71;
   228770.30;       24.06;       55.24;
   228770.31;       56.71;       22.29;
   228770.31;       26.13;       53.13;
   228770.31;       42.15;       36.97;
   228770.32;       19.84;       59.47;
   228770.32;       45.86;       33.22;
   228770.32;       30.09;       49.12;
   228770.33;       37.48;       41.66;
   228770.33;       35.88;       43.27;
   228770.33;       32.95;       46.22;
   228770.34;       34.74;       44.40;
   228770.35;       32.82;       46.33;
   228770.35;       19.58;       59.68;
   228770.36;       36.48;       42.62;
   228770.38;       20.53;       58.68;
   228770.39;       35.84;       43.23;
   228770.39;       30.08;       49.04;
   228770.39;       35.16;       43.91;
   228770.40;       21.91;       57.27;
   228770.40;       51.47;       27.45;
   228770.40;       40.93;       38.08;
   228770.40;       54.24;       24.65;
   228770.41;       34.01;       45.05;
   228770.41;       19.21;       59.98;
   228770.41;       37.90;       41.12;
   228770.41;       21.65;       57.51;
   228770.41;       46.48;       32.46;
   228770.42;       56.48;       22.37;
   228770.44;       54.11;       24.73;
   228770.44;       57.89;       20.91;
   228770.45;       43.65;       35.27;
   228770.46;       21.87;       57.22;
   228770.46;       21.33;       57.76;
   228770.47;       48.09;       30.76;
   228770.47;       19.31;       59.79;
   228770.49;       50.56;       28.24;
   228770.49;       33.82;       45.12;
   228770.50;       37.53;       41.37;
   228770.50;       41.99;       36.86;
   228770.51;       30.00;       48.95;
   228770.52;       30.44;       48.49;
   228770.52;       39.91;       38.93;
   228770.53;       49.15;       29.60;
   228770.53;       57.07;       21.61;
   228770.55;       55.34;       23.33;
   228770.57;       26.70;       52.19;
   228770.57;       23.02;       55.90;
   228770.61;       51.80;       26.82;
   228770.62;       32.96;       45.81;
   228770.62;       23.39;       55.46;
   228770.63;       38.98;       39.72;
   228770.64;       38.84;       39.85;
   228770.64;       53.41;       25.15;
   228770.64;       54.90;       23.64;
   228770.66;       36.64;       42.04;
   228770.66;       43.13;       35.49;
   228770.66;       57.73;       20.76;
   228770.66;       51.57;       26.97;
   228770.67;       51.55;       26.98;
   228770.68;       19.84;       58.96;
   228770.68;       49.42;       29.12;
   228770.68;       46.88;       31.68;
   228770.69;       49.02;       29.50;
   228770.70;       41.50;       37.08;
   228770.70;       53.71;       24.76;
   228770.71;       27.13;       51.56;
   228770.72;       50.96;       27.51;
   228770.72;       47.15;       31.35;
   228770.72;       35.19;       43.41;
   228770.72;       29.35;       49.30;
   228770.73;       50.68;       27.77;
   228770.74;       57.30;       21.09;
   228770.75;       51.30;       27.12;
   228770.75;       54.28;       24.11;
   228770.76;       51.68;       26.73;
   228770.76;       28.51;       50.09;
   228770.77;       39.66;       38.84;
   228770.77;       53.13;       25.25;
   228770.77;       58.62;       19.71;
   228770.77;       59.57;       18.75;
   228770.78;       29.40;       49.17;
   228770.78;       57.81;       20.51;
   228770.78;       27.29;       51.29;
   228770.79;       33.87;       44.64;
   228770.81;       41.24;       37.18;
   228770.81;       26.99;       51.55;
   228770.83;       27.47;       51.04;
   228770.86;       43.25;       35.09;
   228770.86;       32.98;       45.44;
   228770.87;       59.24;       18.95;
   228770.87;       19.96;       58.57;
   228770.89;       43.02;       35.28;
   228770.90;       26.53;       51.90;
   228770.90;       32.96;       45.40;
   228770.92;       49.61;       28.59;
   228770.92;       48.04;       30.17;
   228770.94;       39.98;       38.27;
   228770.95;       49.45;       28.71;
   228770.95;       29.07;       49.26;
   228770.97;       43.21;       34.97;
   228771.02;       38.86;       39.29;
   228771.02;       58.48;       19.50;
   228771.03;       57.53;       20.44;
   228771.03;       51.24;       26.78;
   228771.04;       54.41;       23.58;
   228771.04;       35.04;       43.11;
   228771.05;       55.29;       22.67;
   228771.05;       33.03;       45.12;
   228771.06;       32.22;       45.92;
   228771.07;       27.07;       51.11;
   228771.08;       28.98;       49.17;
   228771.08;       38.98;       39.08;
   228771.08;       20.39;       57.83;
   228771.10;       58.38;       19.49;
   228771.11;       19.60;       58.59;
   228771.11;       49.93;       27.99;
   228771.11;       53.24;       24.65;
   228771.11;       29.85;       48.24;
   228771.12;       42.71;       35.26;
   228771.13;       52.92;       24.95;
   228771.13;       29.25;       48.82;
   228771.13;       59.36;       18.45;
   228771.14;       51.70;       26.17;
   228771.14;       28.28;       49.79;
   228771.15;       42.91;       35.02;
   228771.15;       31.73;       46.29;
   228771.16;       31.93;       46.08;
   228771.16;       59.36;       18.41;
   228771.17;       50.96;       26.87;
   228771.17;       26.96;       51.07;
   228771.17;       31.46;       46.53;
   228771.18;       18.23;       59.87;
   228771.20;       33.05;       44.89;
   228771.21;       19.62;       58.42;
   228771.22;       49.98;       27.79;
   228771.22;       47.35;       30.44;
   228771.22;       50.09;       27.67;
   228771.23;       45.17;       32.62;
   228771.23;       56.73;       20.96;
   228771.23;       51.96;       25.77;
   228771.24;       23.70;       54.26;
   228771.25;       40.92;       36.88;
   228771.25;       54.88;       22.80;
   228771.26;       21.40;       56.56;
   228771.26;       47.01;       30.72;
   228771.26;       38.55;       39.25;
   228771.28;       25.06;       52.84;
   228771.28;       33.31;       44.51;
   228771.29;       24.82;       53.07;
   228771.29;       39.38;       38.38;
   228771.29;       59.25;       18.34;
   228771.29;       30.39;       47.44;
   228771.29;       26.94;       50.92;
   228771.32;       22.09;       55.78;
   228771.32;       42.45;       35.24;
   228771.33;       40.06;       37.63;
   228771.34;       19.94;       57.92;
   228771.34;       59.91;       17.60;
   228771.35;       57.79;       19.73;
   228771.35;       54.12;       23.42;
   228771.36;       35.80;       41.89;
   228771.37;       48.11;       29.46;
   228771.37;       26.59;       51.16;
   228771.37;       18.56;       59.26;
   228771.38;       29.16;       48.56;
   228771.38;       58.18;       19.29;
   228771.38;       17.83;       59.99;
   228771.40;       50.12;       27.39;
   228771.42;       56.59;       20.84;
   228771.42;       40.07;       37.50;
   228771.42;       51.41;       26.06;
   228771.42;       48.96;       28.53;
   228771.42;       58.96;       18.44;
   228771.43;       53.54;       23.89;
   228771.44;       55.64;       21.77;
   228771.44;       21.85;       55.85;
   228771.44;       38.86;       38.69;
   228771.44;       43.14;       34.37;
   228771.44;       53.50;       23.92;
   228771.46;       56.37;       21.00;
   228771.46;       23.71;       53.94;
   228771.47;       37.03;       40.49;
   228771.48;       48.90;       28.50;
   228771.49;       30.49;       47.06;
   228771.49;       31.47;       46.07;
   228771.50;       20.62;       57.01;
   228771.51;       33.39;       44.10;
   228771.51;       19.77;       57.84;
   228771.52;       18.53;       59.08;
   228771.52;       56.48;       20.80;
   228771.53;       48.89;       28.45;
   228771.54;       51.77;       25.53;
   228771.55;       46.46;       30.87;
   228771.56;       33.09;       44.34;
   228771.56;       30.61;       46.84;
   228771.57;       51.14;       26.12;
   228771.59;       28.56;       48.87;
   228771.59;       46.89;       30.38;
   228771.59;       47.80;       29.46;
   228771.60;       52.07;       25.14;
   228771.60;       57.44;       19.72;
   228771.61;       58.90;       18.24;
   228771.62;       34.60;       42.73;
   228771.63;       33.51;       43.82;
   228771.63;       42.99;       34.25;
   228771.64;       48.18;       29.01;
   228771.64;       42.10;       35.14;
   228771.64;       24.73;       52.66;
   228771.64;       59.82;       17.26;
   228771.64;       38.65;       38.61;
   228771.65;       31.20;       46.12;
   228771.66;       22.85;       54.52;
   228771.67;       33.65;       43.61;
   228771.68;       23.51;       53.83;
   228771.68;       46.34;       30.80;
   228771.71;       42.19;       34.95;
   228771.72;       59.97;       17.00;
   228771.72;       23.81;       53.47;
   228771.73;       42.80;       34.30;
   228771.74;       24.71;       52.54;
   228771.75;       23.99;       53.25;
   228771.76;       47.90;       29.11;
   228771.77;       29.99;       47.17;
   228771.80;       43.34;       33.66;
   228771.80;       20.01;       57.19;
   228771.82;       37.76;       39.26;
   228771.84;       53.51;       23.35;
   228771.85;       39.06;       37.91;
   228771.85;       42.03;       34.91;
   228771.85;       39.10;       37.86;
   228771.86;       41.77;       35.16;
   228771.87;       22.07;       55.02;
   228771.89;       18.76;       58.33;
   228771.89;       39.16;       37.75;
   228771.90;       50.64;       26.16;
   228771.90;       53.59;       23.18;
   228771.93;       58.70;       17.98;
   228771.94;       59.79;       16.87;
   228771.95;       40.99;       35.82;
   228771.95;       32.20;       44.68;
   228771.95;       25.07;       51.87;
   228771.96;       55.52;       21.15;
   228771.98;       25.82;       51.08;
   228771.98;       42.10;       34.65;
   228771.98;       48.81;       27.88;
   228771.99;       57.48;       19.13;
   228772.00;       58.66;       17.93;
   228772.00;       48.01;       28.67;
   228772.00;       23.78;       53.11;
   228772.00;       22.46;       54.43;
   228772.01;       48.48;       28.18;
   228772.01;       39.76;       36.97;
   228772.01;       25.82;       51.03;
   228772.04;       45.24;       31.40;
   228772.04;       24.47;       52.35;
   228772.05;       22.06;       54.77;
   228772.06;       29.10;       47.65;
   228772.08;       52.26;       24.26;
   228772.08;       18.90;       57.91;
   228772.09;       42.16;       34.44;
   228772.09;       56.00;       20.48;
   228772.09;       20.09;       56.70;
   228772.11;       38.24;       38.36;
   228772.12;       59.14;       17.27;
   228772.12;       55.11;       21.33;
   228772.12;       59.75;       16.65;
   228772.14;       39.94;       36.61;
   228772.14;       53.12;       23.31;
   228772.14;       45.77;       30.72;
   228772.15;       32.34;       44.25;
   228772.16;       47.03;       29.43;
   228772.16;       42.97;       33.52;
   228772.16;       32.51;       44.07;
   228772.18;       20.97;       55.68;
   228772.19;       36.22;       40.28;
   228772.20;       21.65;       54.97;
   228772.20;       34.61;       41.89;
   228772.21;       26.18;       50.38;
   228772.22;       39.51;       36.93;
   228772.23;       37.85;       38.59;
   228772.24;       34.89;       41.55;
   228772.24;       48.80;       27.52;
   228772.24;       55.85;       20.41;
   228772.25;       44.05;       32.30;
   228772.26;       32.89;       43.54;
   228772.27;       36.58;       39.81;
   228772.28;       50.09;       26.17;
   228772.28;       46.15;       30.14;
   228772.28;       37.91;       38.45;
   228772.30;       37.04;       39.30;
   228772.31;       58.66;       17.49;
   228772.31;       28.21;       48.20;
   228772.31;       58.42;       17.73;
   228772.31;       44.03;       32.24;
   228772.31;       24.49;       51.95;
   228772.31;       35.71;       40.63;
   228772.32;       59.32;       16.80;
   228772.32;       27.66;       48.73;
   228772.33;       18.27;       58.20;
   228772.33;       17.78;       58.69;
   228772.34;       32.47;       43.86;
   228772.35;       50.47;       25.69;
   228772.35;       43.44;       32.77;
   228772.36;       42.64;       33.57;
   228772.36;       17.52;       58.91;
   228772.36;       21.68;       54.71;
   228772.37;       51.15;       24.97;
   228772.38;       31.25;       45.03;
   228772.40;       52.67;       23.40;
   228772.40;       38.25;       37.94;
   228772.42;       24.93;       51.35;
   228772.42;       49.99;       26.07;
   228772.43;       28.56;       47.67;
   228772.44;       49.66;       26.38;
   228772.44;       17.29;       59.03;
   228772.45;       16.98;       59.33;
   228772.45;       43.81;       32.26;
   228772.45;       29.97;       46.22;
   228772.46;       30.96;       45.21;
   228772.47;       34.83;       41.29;
   228772.47;       53.26;       22.70;
   228772.48;       36.57;       39.52;
   228772.48;       51.61;       24.35;
   228772.49;       20.92;       55.29;
   228772.50;       37.05;       39.01;
   228772.50;       50.76;       25.18;
   228772.51;       26.93;       49.20;
   228772.52;       48.48;       27.45;
   228772.53;       37.07;       38.94;
   228772.56;       33.79;       42.21;
   228772.56;       58.09;       17.70;
   228772.56;       57.97;       17.82;
   228772.58;       17.84;       58.28;
   228772.58;       55.68;       20.11;
   228772.58;       40.05;       35.87;
   228772.58;       36.18;       39.77;
   228772.61;       59.19;       16.53;
   228772.61;       31.50;       44.45;
   228772.62;       39.90;       35.96;
   228772.64;       53.94;       21.78;
   228772.64;       33.01;       42.89;
   228772.64;       36.31;       39.56;
   228772.64;       41.15;       34.67;
   228772.65;       22.15;       53.83;
   228772.65;       40.11;       35.71;
   228772.65;       21.45;       54.53;
   228772.65;       34.63;       41.23;
   228772.67;       59.76;       15.87;
   228772.67;       58.24;       17.40;
   228772.67;       29.15;       46.74;
   228772.68;       43.27;       32.48;
   228772.68;       35.84;       39.97;
   228772.69;       36.07;       39.73;
   228772.69;       36.75;       39.04;
   228772.69;       28.41;       47.45;
   228772.70;       43.89;       31.83;
   228772.70;       29.26;       46.58;
   228772.71;       21.75;       54.15;
   228772.71;       53.87;       21.75;
   228772.71;       50.38;       25.26;
   228772.72;       17.62;       58.30;
   228772.72;       58.50;       17.06;
   228772.72;       52.32;       23.29;
   228772.72;       49.78;       25.85;
   228772.74;       19.11;       56.77;
   228772.74;       24.18;       51.65;
   228772.74;       55.35;       20.21;
   228772.76;       36.94;       38.75;
   228772.76;       20.26;       55.57;
   228772.78;       15.91;       59.94;
   228772.78;       30.67;       45.04;
   228772.78;       31.79;       43.91;
   228772.79;       23.53;       52.24;
   228772.79;       18.90;       56.91;
   228772.79;       24.36;       51.40;
   228772.79;       42.14;       33.46;
   228772.80;       38.68;       36.94;
   228772.81;       39.38;       36.22;
   228772.81;       35.91;       39.72;
   228772.81;       18.51;       57.27;
   228772.81;       45.76;       29.78;
   228772.82;       54.85;       20.60;
   228772.85;       39.83;       35.71;
   228772.85;       51.47;       23.97;
   228772.86;       15.76;       59.98;
   228772.87;       26.48;       49.15;
   228772.87;       37.88;       37.65;
   228772.87;       20.05;       55.63;
   228772.88;       55.67;       19.69;
   228772.88;       48.28;       27.14;
   228772.88;       50.29;       25.11;
   228772.88;       15.75;       59.95;
   228772.89;       21.00;       54.65;
   228772.90;       51.61;       23.76;
   228772.91;       39.62;       35.83;
   228772.92;       39.93;       35.51;
   228772.93;       34.92;       40.54;
   228772.94;       20.79;       54.79;
   228772.95;       37.30;       38.11;
   228772.96;       25.63;       49.87;
   228772.98;       24.75;       50.74;
   228772.98;       23.09;       52.41;
   228773.00;       35.02;       40.35;
   228773.00;       41.27;       34.04;
